product_name,category,text,rating,aspect,language
iPhone 15,phone,कैमरा बहुत बढ़िया है 48MP सेंसर शानदार फोटो लेता है,5,Camera,hindi
iPhone 15,phone,बैटरी बैकअप औसत है एक दिन मुश्किल से चलती है,3,Battery,hindi
iPhone 15,phone,A17 प्रोसेसर की स्पीड लाजवाब है गेमिंग smoothly चलती है,5,Performance,hindi
iPhone 15,phone,डिस्प्ले बहुत bright और color accurate है,5,Display,hindi
iPhone 15,phone,कीमत बहुत ज्यादा है ₹80000 से ऊपर है,2,Value,hindi
iPhone 15,phone,बिल्ड क्वालिटी premium है titanium body मजबूत लगती है,5,Build Quality,hindi
iPhone 15,phone,कॅमेरा खूप चांगला आहे फोटो क्वालिटी उत्तम आहे,5,Camera,marathi
iPhone 15,phone,बॅटरी बॅकअप सरासरी आहे एक दिवस कठीण चालते,3,Battery,marathi
Samsung S24,phone,कैमरा अच्छा है पर iPhone से थोड़ा पीछे है,4,Camera,hindi
Samsung S24,phone,बैटरी लाइफ बहुत अच्छी है पूरे दिन आराम से चलती है,5,Battery,hindi
Samsung S24,phone,Snapdragon 8 Gen 3 की परफॉर्मेंस बेहतरीन है,5,Performance,hindi
Samsung S24,phone,AMOLED डिस्प्ले की quality जबरदस्त है,5,Display,hindi
Samsung S24,phone,Price iPhone से कम है value for money अच्छी है,4,Value,hindi
Samsung S24,phone,बिल्ड क्वालिटी अच्छी है लेकिन plastic back है,4,Build Quality,hindi
Samsung S24,phone,कॅमेरा चांगला आहे पण iPhone पेक्षा थोडा मागे आहे,4,Camera,marathi
Samsung S24,phone,बॅटरी लाइफ खूप चांगली आहे पूर्ण दिवस चालते,5,Battery,marathi
Vivo Y33T,phone,कैमरा ठीक है price के हिसाब से अच्छा है,3,Camera,hindi
Vivo Y33T,phone,बैटरी 5000mAh है 2 दिन आराम से चलती है,5,Battery,hindi
Vivo Y33T,phone,परफॉर्मेंस basic use के लिए okay है,3,Performance,hindi
Vivo Y33T,phone,LCD डिस्प्ले है AMOLED नहीं है,3,Display,hindi
Vivo Y33T,phone,Budget phone है कीमत बहुत reasonable है,5,Value,hindi
